age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
60,entrepreneur,married,basic.4y,no,no,yes,telephone,may,wed,141,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
48,management,married,university.degree,no,no,no,cellular,oct,wed,301,1,999,1,failure,-3.4,92.431,-26.9,0.74,5017.5,no
47,services,divorced,high.school,no,no,no,telephone,may,wed,125,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
24,blue-collar,single,high.school,no,yes,no,cellular,apr,mon,135,1,999,1,failure,-1.8,93.749,-34.6,0.645,5008.7,no
34,technician,married,professional.course,no,yes,no,cellular,may,thu,30,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no
46,unemployed,married,basic.9y,no,unknown,unknown,cellular,jun,tue,96,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,no
27,technician,single,high.school,unknown,no,yes,telephone,may,tue,351,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
44,services,married,high.school,no,no,no,cellular,jul,mon,190,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
43,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,wed,64,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
56,technician,divorced,professional.course,no,yes,no,telephone,jul,fri,159,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
37,blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,thu,1150,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,yes
45,blue-collar,married,basic.6y,no,yes,no,cellular,nov,thu,265,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
33,management,married,professional.course,no,no,no,telephone,may,tue,282,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
36,admin.,married,university.degree,unknown,yes,no,cellular,jul,tue,874,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
